click_id,user_id,channel,campaign_id,timestamp
1,3186.0,Facebok Ads,2.0,2024-02-25 04:00:21
2,4293.0,Facebook Ads,16.0,2024-01-05 04:09:36
3,4290.0,Google Search,9.0,2024-01-22 13:09:11
4,3445.0,Google Display,24.0,
5,7107.0,Google Search,9.0,2024-02-07 05:17:58
6,6132.0,Instagram Ads,16.0,2024-04-29 14:53:54
7,4820.0,Facebook Ads,41.0,25/01/2024 13:20
8,8012.0,Google Search,51.0,2024-01-13 14:19:49
9,6359.0,tik_tok_ads,34.0,2024-03-03 11:48:16
10,7919.0,Instagram Ads,38.0,2024-04-23 09:33:22
11,3395.0,Googel Display,16.0,2024-02-29 10:03:31
12,6179.0,fb_ads,6.0,2024-01-17 07:35:58
13,8501.0,TikTok Ads,33.0,2024-03-23 17:46:51
14,7087.0,Instagram Ads,25.0,2024-03-26 18:25:03
15,1244.0,google search,33.0,2024-01-16 04:14:50
16,3732.0,GOOGLE SEARCH,35.0,2024-02-08 04:26:17
17,4097.0,Facebook Ads,39.0,15/04/2024 11:08
18,140.0,Facebook Ads,51.0,2024-03-19 18:58:17
19,195.0,tiktok ads,10.0,2024-02-14 04:35:33
20,3439.0,TikTok Ads,36.0,2024-03-30 14:17:06
21,1407.0,Google Display,45.0,2024-03-26 04:24:02
22,494.0,TikTok Ads,20.0,2024-01-02 21:07:02
23,5811.0,Instagram Ads,49.0,2024-04-14 09:24:58
24,381.0,Google Search,10.0,2024-03-05 03:04:44
25,6405.0,Google Display,5.0,2024-02-06 13:43:18
26,5388.0,Instagram Ads,20.0,2024-01-21 06:08:04
27,2911.0,TikTok Ads,12.0,2024-03-15 22:23:48
28,3819.0,TikTok Ads,4.0,2024-01-03 03:28:59
29,6732.0,google search,27.0,2024-01-14 08:27:31
30,3383.0,google display,53.0,2024-04-02 04:38:07
31,5085.0,TikTok Ads,30.0,
32,7303.0,instagram ads,16.0,20/04/2024 12:47
33,7540.0,Google Search,19.0,2024-03-29 14:32:34
34,4874.0,Google Display,12.0,2024-03-24 21:37:22
35,3006.0,Google Search,3.0,2024-01-31 16:01:03
36,4783.0,google search,47.0,2024-04-05 19:49:07
37,1987.0,Google Search,33.0,2024-03-04 07:19:52
38,2701.0,TikTok Ads,2.0,2024-03-30 16:37:42
39,6543.0,Instgram Ads,17.0,2024-01-27 12:02:44
40,7607.0,Google Search,43.0,2024-03-25 23:56:24
41,4574.0,Google Display,39.0,2024-02-27 02:48:48
42,6404.0,Gogle Search,10.0,2024-02-04 13:15:41
43,565.0,TicTok Ads,45.0,2024-04-11 12:46:17
44,1685.0,Facebook Ads,999.0,09/02/2024 04:10
45,6139.0,Google Display,27.0,2024-01-03 19:51:15
46,3149.0,Google Search,7.0,2024-02-02 14:23:27
47,722.0,Google Search,21.0,2024-02-06 19:21:19
48,6473.0,Google Search,7.0,2024-02-03 17:08:06
49,,Google Display,5.0,2024-02-24 01:42:23
50,6046.0,Google Display,50.0,2024-01-20 18:29:08
51,2810.0,Google Search,41.0,2024-01-26 19:30:19
52,5210.0,Instagram Ads,2.0,2024-04-23 14:28:10
53,8373.0,Google Display,46.0,2024-02-15 04:01:19
54,2033.0,Instagram Ads,40.0,2024-01-27 17:03:18
55,4860.0,Instagram Ads,3.0,
56,7271.0,FB Ads,21.0,2024-01-08 16:35:03
57,6798.0,FB Ads,15.0,2024-03-05 07:49:52
58,3373.0,Google Display,45.0,28/04/2024 01:46
59,8544.0,Instagram Ads,5.0,invalid_date
60,854.0,Google Display,9.0,2024-04-25 01:51:32
61,3349.0,google-Search,30.0,2024-02-08 08:35:08
62,2891.0,Facebook Ads,29.0,2024-02-09 02:35:48
63,7884.0,facebook ads,11.0,2024-03-23 01:54:43
64,7102.0,,25.0,2024-01-17 03:53:35
65,4919.0,Google Display,12.0,2024-03-31 00:46:16
66,4641.0,TikTok Ads,22.0,2024-04-01 02:54:10
67,,tiktok ads,24.0,invalid_date
68,6114.0,FB Ads,38.0,
69,2040.0,TikTok Ads,49.0,2024-02-19 13:35:25
70,5712.0,Instagram Ads,24.0,15/03/2024 19:46
71,4044.0,Google Search,24.0,2024-01-06 11:40:58
72,2423.0,Instagram Ads,10.0,2024-04-26 22:13:09
73,,Google Search,25.0,
74,1317.0,Google Display,11.0,2024-02-19 02:27:55
75,8203.0,Instagram Ads,47.0,2024-01-18 06:10:48
76,5643.0,Facebook Ads,48.0,2024-02-29 19:51:06
77,2760.0,Google Search,50.0,2024-04-11 22:30:00
78,4725.0,Google Display,12.0,2024-02-08 10:50:33
79,8235.0,insta_Ads,14.0,2024-01-12 10:52:34
80,3144.0,Instagram Ads,40.0,2024-02-02 06:12:14
81,1405.0,Facebook Ads,2.0,2024-04-02 19:09:43
82,,Facebook Ads,1.0,2024-01-09 03:04:43
83,119.0,TikTok Ads,49.0,2024-04-04 08:34:48
84,5522.0,Facebook Ads,22.0,invalid_date
85,6529.0,Google Search,22.0,2024-01-01 14:22:32
86,6584.0,,8.0,invalid_date
87,4073.0,TikTok Ads,31.0,2024-02-06 11:50:25
88,,Facebook Ads,52.0,2024-03-27 06:37:00
89,7939.0,TikTok Ads,23.0,
90,1646.0,Facebook Ads,46.0,10/04/2024 23:37
91,8268.0,instagram ads,20.0,
92,7649.0,Instagram Ads,31.0,2024-02-16 18:40:58
93,2793.0,Googel Search,46.0,04/03/2024 09:36
94,4594.0,Facebook Ads,43.0,27/01/2024 08:40
95,8061.0,Facebook Ads,37.0,2024-04-26 15:22:08
96,5624.0,Instagram Ads,51.0,2024-03-25 20:23:30
97,3663.0,Facebook Ads,6.0,invalid_date
98,1903.0,Google Display,25.0,2024-01-01 07:49:20
99,3111.0,Instagram Ads,24.0,2024-01-25 12:38:05
100,3640.0,Google  Search,30.0,2024-02-27 15:17:52
101,8190.0,Google Display,10.0,2024-01-07 16:03:14
102,5061.0,Google Search,46.0,2024-02-11 21:15:30
103,6172.0,Facebook Ads,46.0,2024-02-13 16:54:37
104,862.0,Google Display,47.0,
105,6428.0,Instgram Ads,49.0,2024-01-14 22:43:13
106,4638.0,google display,36.0,2024-01-26 10:02:29
107,887.0,Facebook Ads,11.0,2024-03-26 19:19:38
108,4770.0,Google Display,48.0,2024-01-02 18:33:38
109,1671.0,Google  Display,28.0,02/02/2024 15:58
110,1574.0,Instagram Ads,4.0,2024-04-10 02:06:07
111,7108.0,Instagram Ads,8.0,2024-04-04 21:09:42
112,2827.0,Instagram Ads,51.0,2024-01-18 09:37:05
113,6261.0,Instagram Ads,8.0,2024-01-24 16:48:05
114,8352.0,TikTok Ads,37.0,2024-01-19 08:39:00
115,2968.0,Instagram Ads,9.0,2024-01-13 07:55:24
116,3030.0,Google Search,53.0,2024-04-12 22:23:15
117,8502.0,tik_tok_ads,51.0,invalid_date
118,1923.0,TikTok Ads,1.0,2024-03-02 00:43:33
119,2111.0,Google Display,17.0,2024-01-07 19:08:11
120,2044.0,Facebook Ads,11.0,2024-01-01 00:23:55
121,757.0,TicTok Ads,19.0,2024-03-27 09:28:43
122,8036.0,TikTok Ads,23.0,2024-04-09 03:31:24
123,1623.0,Google Search,13.0,invalid_date
124,3540.0,Facebook Ads,40.0,2024-04-16 18:28:48
125,6256.0,Google Display,6.0,invalid_date
126,2347.0,Google Search,18.0,2024-02-07 09:42:31
127,8380.0,Instagram Ads,21.0,2024-03-25 04:50:56
128,4056.0,google-Search,44.0,2024-01-13 19:23:34
129,1458.0,FB Ads,10.0,2024-02-13 20:08:36
130,1605.0,Google Display,7.0,2024-01-24 23:34:04
131,5023.0,Instagram Ads,23.0,2024-02-24 18:11:59
132,1624.0,google display,49.0,2024-03-08 00:37:20
133,6598.0,Googel Display,44.0,2024-01-31 04:38:30
134,2338.0,Facebook Ads,47.0,2024-03-12 21:01:38
135,4082.0,Instagram Ads,12.0,2024-03-09 17:45:58
136,8229.0,Instagram Ads,46.0,2024-02-14 10:07:04
137,1425.0,Instagram Ads,6.0,2024-01-15 21:24:58
138,1535.0,Googel Search,19.0,2024-04-05 16:50:59
139,176.0,insta_Ads,47.0,2024-04-06 15:56:25
140,2043.0,TicTok Ads,999.0,2024-04-13 18:08:02
141,4002.0,TikTok Ads,3.0,2024-02-02 17:25:03
142,3688.0,Facebook Ads,33.0,2024-01-10 21:14:30
143,6212.0,Google Search,44.0,14/04/2024 16:28
144,1932.0,Instagram Ads,999.0,12/02/2024 05:27
145,8447.0,Googel Search,40.0,2024-01-12 03:57:15
146,7543.0,Facebook Ads,23.0,2024-02-06 03:33:28
147,146.0,Instagram Ads,34.0,2024-01-30 20:20:37
148,,facebook ads,26.0,2024-03-11 18:40:23
149,2985.0,Facebook Ads,29.0,2024-03-26 07:33:02
150,5796.0,Google Search,46.0,2024-02-06 19:26:47
151,2191.0,fb_ads,11.0,invalid_date
152,4355.0,Instagram Ads,52.0,2024-01-25 17:53:07
153,6552.0,Instagram Ads,7.0,2024-01-25 11:46:42
154,,Google Display,22.0,2024-04-25 22:37:34
155,7117.0,Facebook Ads,49.0,2024-04-29 22:17:09
156,8377.0,facebook ads,17.0,2024-02-18 00:45:17
157,7032.0,Google Search,33.0,
158,2437.0,Google Display,18.0,2024-01-29 09:23:02
159,3271.0,Google Search,34.0,2024-02-14 22:31:51
160,6981.0,TikTok Ads,4.0,2024-02-22 06:46:39
161,5752.0,Google Display,4.0,2024-01-01 02:29:51
162,5270.0,Instagram Ads,39.0,2024-02-05 21:25:00
163,8050.0,Facebook Ads,0.0,2024-03-05 07:33:30
164,5921.0,TikTok Ads,24.0,2024-02-23 14:00:21
165,6293.0,Google Search,48.0,2024-01-08 23:15:19
166,3121.0,Instagram Ads,5.0,2024-03-07 14:01:13
167,7770.0,Googel Display,10.0,2024-02-07 05:25:05
168,4138.0,TikTok Ads,24.0,23/01/2024 19:15
169,1110.0,TikTok Ads,33.0,2024-02-02 09:58:26
170,2113.0,tik_tok_ads,45.0,2024-03-18 04:27:19
171,8413.0,Google Display,33.0,2024-03-16 18:40:56
172,4449.0,Googel Search,14.0,02/01/2024 17:17
173,8402.0,tik_tok_ads,15.0,2024-02-22 03:22:08
174,2804.0,tiktok ads,3.0,23/02/2024 22:26
175,4431.0,Google Search,16.0,2024-02-10 18:32:32
176,23.0,TikTok Ads,21.0,2024-04-16 15:48:26
177,2190.0,TikTok Ads,4.0,2024-01-03 00:30:20
178,3593.0,facebook ads,2.0,2024-04-23 06:11:39
179,6259.0,Facebook Ads,41.0,2024-02-10 00:46:14
180,3615.0,Google Display,52.0,2024-03-17 18:59:35
181,3797.0,Instagram Ads,31.0,2024-02-05 05:54:51
182,2886.0,Instagram Ads,12.0,2024-01-05 02:05:15
183,2912.0,TikTok Ads,10.0,2024-02-17 14:57:56
184,6595.0,TikTok Ads,49.0,2024-04-27 03:33:05
185,6292.0,Google Search,42.0,2024-01-26 15:59:56
186,1370.0,,1.0,2024-01-21 15:34:31
187,5545.0,GOOGLE SEARCH,31.0,2024-03-27 06:42:36
188,5037.0,Google Display,35.0,2024-04-15 13:25:11
189,730.0,Facebook Ads,27.0,2024-02-13 13:22:23
190,6999.0,Facebook Ads,15.0,2024-03-15 17:02:09
191,1842.0,Google Search,19.0,2024-04-29 13:21:17
192,5907.0,Google Search,39.0,2024-03-24 05:33:11
193,2972.0,Google Display,44.0,2024-02-25 17:32:34
194,1703.0,Instagram Ads,17.0,2024-01-15 19:54:27
195,2436.0,google display,25.0,2024-04-02 21:39:17
196,1855.0,Facebok Ads,21.0,2024-02-05 07:35:11
197,5778.0,Instagram Ads,27.0,2024-03-05 18:03:36
198,4029.0,TikTok Ads,35.0,2024-04-14 02:55:53
199,6302.0,Instagram Ads,50.0,2024-02-12 14:10:13
200,3854.0,Google Display,2.0,invalid_date
201,1805.0,Facebook Ads,50.0,2024-02-27 05:23:20
202,6899.0,Google Display,9.0,2024-01-28 18:47:06
203,432.0,Instagram Ads,45.0,2024-04-22 22:29:07
204,2592.0,Facebok Ads,16.0,2024-04-20 12:35:08
205,6824.0,Google Display,9.0,2024-02-28 03:48:25
206,5527.0,Google Search,10.0,2024-01-07 05:41:09
207,2844.0,GOOGLE SEARCH,28.0,2024-03-29 05:10:30
208,4228.0,tik_tok_ads,15.0,2024-01-31 10:44:38
209,1507.0,Google Display,26.0,2024-02-12 12:10:40
210,1265.0,Instagram Ads,42.0,2024-03-14 21:07:08
211,6087.0,Google Display,7.0,2024-04-27 03:04:11
212,5497.0,Facebook Ads,7.0,2024-04-25 22:44:16
213,5065.0,Google Display,3.0,
214,736.0,Instagram Ads,21.0,2024-02-29 22:12:10
215,5844.0,Instagram Ads,21.0,
216,1596.0,tiktok ads,52.0,2024-01-05 14:22:53
217,6261.0,Google Search,10.0,16/01/2024 07:00
218,1529.0,Google Display,52.0,2024-01-28 08:28:02
219,2639.0,TikTok Ads,47.0,invalid_date
220,5594.0,Google Display,24.0,2024-03-24 16:08:46
221,6351.0,TikTok Ads,10.0,2024-04-06 14:37:27
222,245.0,facebook ads,52.0,2024-01-17 22:13:51
223,7452.0,FB Ads,18.0,2024-03-09 14:48:59
224,2936.0,Instagram Ads,31.0,2024-03-26 20:04:50
225,2302.0,TikTok Ads,24.0,2024-03-18 20:30:43
226,2114.0,TikTok Ads,21.0,2024-03-21 05:37:28
227,4307.0,GOOGLE SEARCH,42.0,2024-02-17 12:55:44
228,131.0,google-Search,11.0,2024-01-15 04:06:19
229,7574.0,FB Ads,42.0,2024-03-31 06:22:19
230,2954.0,Instagram Ads,13.0,2024-01-13 12:27:32
231,7968.0,Instagram Ads,30.0,invalid_date
232,2385.0,facebook ads,39.0,invalid_date
233,5923.0,Instagram Ads,14.0,2024-03-23 02:57:06
234,2886.0,Google Search,6.0,28/03/2024 15:46
235,3508.0,Facebook Ads,4.0,2024-03-24 05:06:52
236,4865.0,Facebook Ads,31.0,invalid_date
237,7157.0,tik_tok_ads,1.0,2024-04-25 22:49:16
238,2370.0,,30.0,06/04/2024 23:35
239,1862.0,instagram ads,999.0,2024-01-25 09:53:04
240,1597.0,Google Display,35.0,2024-04-26 16:35:56
241,5704.0,GOOGLE DISPLAY,37.0,2024-03-12 21:31:11
242,266.0,Facebook Ads,8.0,2024-03-29 13:06:08
243,5763.0,tik_tok_ads,49.0,2024-02-04 03:21:06
244,6114.0,TicTok Ads,28.0,2024-03-25 22:52:05
245,1626.0,google-Search,2.0,2024-03-20 20:42:07
246,1634.0,TikTok Ads,3.0,2024-03-22 16:19:42
247,7449.0,Google Search,31.0,invalid_date
248,7602.0,,24.0,2024-04-08 13:24:17
249,4334.0,Instagram Ads,1.0,2024-03-21 11:58:26
250,431.0,Facebook Ads,34.0,2024-04-26 11:56:58
251,2793.0,Instagram Ads,26.0,2024-03-17 08:59:36
252,7031.0,Instagram Ads,12.0,2024-03-02 18:34:10
253,7167.0,Google Display,41.0,2024-03-17 02:54:32
254,4264.0,Google Display,14.0,2024-01-05 23:29:31
255,2508.0,TicTok Ads,6.0,2024-01-05 21:51:33
256,2139.0,Facebook Ads,42.0,2024-02-27 15:45:33
257,4019.0,Instagram Ads,43.0,invalid_date
258,380.0,tik_tok_ads,8.0,2024-04-25 17:04:09
259,2324.0,Google Display,32.0,2024-02-10 09:13:18
260,8046.0,Instagram Ads,41.0,2024-03-22 12:54:32
261,5138.0,Instagram Ads,12.0,2024-02-04 16:41:43
262,516.0,Facebook Ads,31.0,2024-04-26 12:10:09
263,2596.0,Facebook Ads,13.0,2024-04-14 01:43:39
264,8385.0,Google Display,8.0,2024-01-06 17:28:07
265,3601.0,Google Display,31.0,2024-01-18 20:36:37
266,4823.0,Instagram Ads,26.0,2024-02-18 13:31:06
267,4606.0,Google Search,50.0,2024-02-02 03:59:58
268,7993.0,Instagram Ads,48.0,2024-03-02 21:28:35
269,6276.0,tiktok ads,41.0,2024-03-28 06:22:17
270,554.0,Facebook Ads,19.0,2024-04-13 00:18:02
271,491.0,Facebook Ads,12.0,2024-01-15 02:31:42
272,6090.0,Facebook Ads,21.0,2024-03-04 20:38:32
273,5269.0,TikTok Ads,19.0,2024-04-12 09:13:14
274,4556.0,Google  Search,42.0,2024-03-25 12:12:17
275,5245.0,Google Search,32.0,2024-02-23 06:52:07
276,2034.0,TikTok Ads,25.0,2024-01-05 03:07:09
277,77.0,Facebook Ads,26.0,13/04/2024 14:08
278,641.0,Google Search,7.0,2024-03-21 14:24:27
279,4501.0,FB Ads,36.0,2024-04-05 21:21:41
280,6445.0,Instagram Ads,42.0,2024-01-24 13:49:31
281,1684.0,Google Search,9.0,03/03/2024 16:37
282,7139.0,Google Search,52.0,
283,861.0,google search,20.0,2024-03-04 22:47:03
284,6219.0,Google Display,38.0,2024-01-25 12:32:52
285,2425.0,Instagram Ads,43.0,2024-04-12 10:44:33
286,7831.0,FB Ads,47.0,2024-01-18 19:48:57
287,4854.0,Facebook Ads,16.0,2024-02-09 23:31:21
288,1232.0,Google Search,43.0,2024-03-15 18:30:38
289,1713.0,TikTok Ads,33.0,2024-03-01 13:12:42
290,2524.0,Google Search,15.0,
291,8413.0,Instagram Ads,18.0,invalid_date
292,1673.0,Google Search,999.0,2024-02-06 07:37:18
293,7803.0,Instagram Ads,8.0,2024-01-17 07:46:46
294,3475.0,TikTok Ads,22.0,2024-02-22 22:21:22
295,806.0,Instagram Ads,13.0,2024-04-25 08:28:11
296,8088.0,Google Search,42.0,2024-01-22 13:41:00
297,871.0,TikTok Ads,5.0,2024-02-23 11:44:03
298,6629.0,Google Search,53.0,2024-02-22 02:12:52
299,2803.0,Facebok Ads,46.0,2024-01-01 14:28:44
300,8246.0,TikTok Ads,20.0,2024-02-16 08:02:50
301,1138.0,Facebook Ads,10.0,2024-04-02 03:47:58
302,342.0,Facebook Ads,11.0,2024-01-02 21:21:47
303,7764.0,Instagram Ads,31.0,2024-01-04 09:02:49
304,4763.0,TikTok Ads,49.0,2024-01-19 05:39:10
305,5500.0,Facebook Ads,17.0,2024-02-19 05:34:02
306,223.0,fb_ads,34.0,2024-04-25 16:21:58
